x,y
61.886002,159.761993
335.018005,114.391998
232.563995,260.798004
491.881989,177.149994
199.119003,108.886002
410.052002,269.269989
290.984009,54.073002
560.887024,86.239998
248.358994,106.612999
231.328995,271.434998
272.196014,206.315002
238.046997,261.703003
67.720001,196.779007
215.921997,200.166
162.335999,67.232002
69.013,138.544998
548.560974,176.337997
83.013,58.655998
545.895996,55.25
534.567993,90.496002
354.722992,153.785995
379.074005,243.886993
421.915985,163.764008
478.622986,275.459991
261.760986,164.852005
520.491028,66.378998
553.258972,237.582001
265.649994,138.307007
548.486023,220.992004
391.779999,244.018997
497.06601,148.341995
572.872986,252.632996
156.160004,59.296001
93.639999,48.084999
346.230011,70.903
279.372009,241.906006
484.321014,75.917
494.813995,183.138
277.936005,62.653
414.031006,205.598007
536.010986,53.138
96.617996,56.099998
77.801003,92.971001
507.934998,133.972
510.804993,139.358002
535.390015,104.135002
535.788025,142.865005
195.572998,111.744003
166.983994,263.717987
508.825989,158.867996
215.792999,130.076004
329.570007,132.300995
147.923004,165.705002
390.181,161.384995
202.994995,152.832993
547.692993,210.080002
290.17099,179.949005
216.414993,267.229004
189.298996,255.026001
333.187012,60.771
360.229004,133.093002
66.374001,127.314003
565.38501,246.927002
402.046997,63.585999
541.794006,139.561005
227.294006,113.752998
339.123993,51.943001
71.392998,193.794006
561.125,129.628998
291.71701,191.910004
343.856995,109.585999
349.393005,113.518997
510.358002,208.128006
477.661987,65.908997
261.072998,268.122009
181.139999,270.994995
530.754028,84.464996
266.78299,246.707001
181.018005,255.781006
125.162003,181.613998
291.459015,46.542999
417.256989,266.311005
201.248001,259.06601
134.298004,161.147995
462.648987,244.507996
149.651001,152.238007
399.671997,215.238998
414.661987,191.563004
131.807007,58.868999
394.403015,161.167007
211.703995,130.822006
400.252991,74.403999
207.376999,58.710999
563.04303,139.074005
142.352005,116.903
564.638,219.406998
289.040009,199.561996
480.023987,49.464001
363.566986,117.723
164.360992,132.636002
164.315002,154.537003
281.237,142.867004
151.940994,161.503998
218.419998,124.096001
561.526978,246.675003
204.056,162.710007
513.104004,116.419998
369.890991,64.986
403.311005,104.115997
200.798996,201.182999
540.445007,180.337006
421.574005,265.445007
262.917999,235.671005
408.63501,276.557007
346.843994,263.665985
59.487999,190.242004
85.102997,213.378998
422.622009,249.477005
379.778992,217.906006
398.009003,250.375
400.584991,182.011993
337.408997,268.332001
401.821014,154.903
513.702026,95.480003
349.541992,207.535004
405.384003,43.504002
190.367004,245.121002
376.337006,271.539001
148.061005,151.300003
269.731995,268.184998
90.420998,107.219002
385.501007,138.544006
470.778015,64.514999
79.896004,213.537003
151.278,130.375
78.025002,187.731003
542.622986,159.645996
128.904007,235.768997
211.197998,54.983002
190.509995,48.826
68.786003,216.138
427.845001,267.89801
132.932999,273.911987
76.681,110.650002
195.630005,74.384003
354.207001,259.140015
290.790009,255.352997
549.120972,117.280998
141.671005,76.371002
279.186005,179.358994
356.355988,92.555
546.401978,145.057007
274.911987,59.731998
472.806,201.755005
540.771973,276.734009
412.819,105.233002
518.387024,180.201996
119.842003,268.526001
503.156006,61.681999
294.125,224.75
53.092999,193.820007
346.269989,264.984985
272.877991,233.576996
210.139999,129.429993
260.369995,204.744995
395.510986,211.983994
536.698975,80.467003
356.444,73.246002
373.739014,264.848999
192.514008,272.557007
516.973999,181.807999
266.774994,131.494003
572.869019,98.389999
356.980011,89.637001
289.987,63.035
148.779007,186.042999
84.860001,297.131989
396.028992,279.372986
396.803009,250.009995
149.716995,121.924004
198.397003,142.041
284.217987,176.977005
401.636993,105.727997
70.379997,198.662003
289.226013,149.216003
265.390991,114.337997
352.503998,182.990005
286.233002,152.218994
291.199005,227.565994
493.958008,84.598999
384.222992,57.624001
130.584,128.050003
132.768005,78.337997
66.473999,174.576004
210.781006,205.964996
355.016998,267.210999
369.204987,174.966995
389.222992,144.348007
71.149002,141.330002
313.598999,78.346001
204.378006,252.125
222.322006,183.748993
418.875,219.981003
578.445984,221.154007
226.574005,195.639008
227.679001,139.279999
88.860001,211.033997
261.006989,151.738998
316.924988,50.752998
102.058998,46.459
224.626007,239.764008
412.403015,132.520996
56.362999,197.069
530.359009,138.888
526.765991,157.602997
316.954987,53.68
502.063995,149.160004
167.651001,259.893005
475.854004,203.987
576.185974,84.440002
420.321991,76.218002
185.432999,84.163002
227.223999,158.391998
85.685997,111.491997
230.994003,251.839005
382.76001,280.609009
79.976997,118.987999
64.683998,55.047001
71.569,196.033997
144.223007,156.462006
292.071014,46.103001
69.974998,132.380997
306.765015,44.208
562.284973,76.529999
519.390015,176.703003
523.002991,212.539993
151.774994,180.085007
184.548004,47.726002
433.235992,278.531006
128.449005,84.452003
151.501999,254.574005
277.441986,66.188004
327.09201,273.567993
152.774994,65.592003
311.225006,51.358002
158.488007,69.253998
258.673004,273.979004
441.143005,241.322006
202.772995,194.839005
120.263,51.131001
174.345001,72.956001
276.882996,209.966995
543.971985,224.998001
334.299988,91.710999
501.61499,182.664001
291.615997,250.156998
153.311005,263.10199
267.799988,124.889
284.661011,208.294006
190.714005,187.475006
542.658997,228.742004
488.375,60.949001
357.195007,148.770004
66.571999,113.200996
324.813995,141.093994
212.175003,147.067001
510.31601,202.548004
519.232971,130.768005
92.253998,303.213989
78.402,137.251007
426.372986,253.619995
517.195984,185.876999
238.578003,161.414001
415.916992,79.595001
278.977997,46.159
223.197006,185.781006
263.864014,216.475006
256.541992,258.031006
64.656998,54.803001
147.130005,242.684006
373.372009,200.987
107.152,72.626999
220.291,210.705994
277.278992,257.68399
136.098999,206.222
301.481995,46.181999
139.177002,243.384003
95.250999,66.943001
121.459999,76.32
468.485992,210.714005
347.970001,47.127998
362.390991,51.169998
91.730003,142.959
225.856003,186.647003
183.056,250.378006
149.222,181.964005
424.144989,119.377998
201.113007,106.473
521.619995,73.024002
305.721008,66.884003
331.835999,118.959999
411.96701,265.776001
441.348999,268.003998
550.705994,92.019997
364.785004,119.820999
544.726013,69.011002
118.856003,47.445999
124.733002,60.070999
341.549011,120.235001
268.679993,261.174011
341.21701,278.196014
434.614014,279.737
368.953003,243.751007
198.225006,263.127014
569.411987,126.18
559.492981,202.929001
242.837997,254.589996
553.835022,49.368
534.151978,149.563995
507.782013,160.246994
350.753998,55.499001
233.992004,67.237999
527.197998,149.315002
343.549011,46.727001
499.919006,145.927002
506.218994,120.822998
471.553009,276.454987
530.539978,116.851997
354.109985,62.550999
423.511993,261.36499
538.719971,102.597
